	title	category
0	Alalaô: Com homenagem à Guiné Equatorial, Beija-Flor é campeã do Carnaval do Rio	nation
1	Laudo diz que pagamentos a Lula transitaram por conta investigada	nation
2	Fiel aliada de Renan é responsável por futuro de contas de Dilma	nation
3	Para Renan, governo precisa cortar gastos antes de aumentar impostos	nation
4	Relator inclui propaganda eleitoral paga na internet na reforma política	nation
5	Petista vota em tucano na Assembleia de SP e diz que PT tomou 'decisão errada'	nation
6	Para fugir da crise, haitianos trocam o Brasil pelo Chile	nation
7	Casar, descasar, recasar: 8 desafios de pai separado (e suas soluções)	nation
8	Oficial da PM pagou condomínio com cheque de empresa suspeita	nation
9	Novo governo vai tentar 'quebrar' programas sociais, diz Dilma	nation
10	Interior de SP discutirá temas nacionais nas eleições	nation
11	PF apreende anotação escrita 'Cx 2' no apartamento de Aécio Neves	nation
12	Acidente em estúdio em SP deixa fotógrafo e assistente em estado grave	nation
13	Futuro de Levy é questão central para investidor britânico	nation
14	Casar, descasar, recasar: As mulheres estão traindo mais - e quanto isso custa?	nation
15	Mortes: Tita, o anjinho sambista na vida de Adá	nation
16	RJ confirma mais dois casos de microcefalia; ao todo são 23	nation
17	Senador articulou emenda para empresa, sugere e-mail	nation
18	FAB força pouso de avião com 350 kg de cocaína no interior de SP	nation
19	Doação da Andrade Gutierrez foi legal, afirma comitê de Dilma	nation
20	Procuradoria vai apurar elo entre tucano e propina na merenda	nation
21	Mortes: Fotógrafo em busca de tamanduás	nation
22	Estudante vítima de acidente com ônibus na Mogi-Bertioga tem alta	nation
23	Bombeiros encontram 15º vítima e encerram buscas em Salvador	nation
24	FHC diz que Dilma não fará as mudanças necessárias	nation
25	Em editorial, revista britânica pede que presidente Dilma renuncie	nation
26	Camaleão, Geddel tem trajetória marcada por alianças com adversários	nation
27	Juristas e autoridades fazem ato em SP contra a redução da maioridade penal	nation
28	Para Alckmin, redução da pressão da água é medida de 'razoabilidade'	nation
29	Governo estende vacina contra HPV a meninos de 14 anos a partir deste mês	nation
30	Equilíbrio marcou as edições da Folha sobre campanha eleitoral	nation
31	Ministério Público de São Paulo rejeita acordo com Odebrecht	nation
32	Sócio de ex-assessor de confiança de Dilma é alvo da 26ª fase da Lava Jato	nation
33	'Não somos moleques', diz delegado da Polícia Civil após Alckmin negar crise	nation
34	Quatro são presos no ES após suspeita de articulação para novo motim da PM	nation
35	Tucanos querem investir em agenda social nas eleições municipais	nation
36	Mortes: Projetou usinas elétricas no interior paulista	nation
37	Shopping D pagou propina para omitir área de 2 Pacaembus, diz Promotoria	nation
38	Caminhão pega fogo e interdita trecho da Anchieta por 9 horas na Grande SP	nation
39	Na China, Doria vira JDJ, coloca tudo na rede social e pressiona por doações	nation
40	Filho de Pitanguy presta depoimento e é transferido para penitenciária em Bangu	nation
41	Ex-tesoureiro do PT se entregou à Justiça Federal, diz Procuradoria	nation
42	Revitalização da praça Vilaboim e de parque terá ajuda da iniciativa privada	nation
43	Câmara aprova projeto para coibir fraude com nome de pessoas mortas	nation
44	Duas pessoas morrem em confrontos na favela do Jacarezinho, no Rio	nation
45	Tentativas de roubo deixam um morto e um ferido na zona leste de SP	nation
